Sales Person,Product,Country,Date,Amount,Boxes,Order Status
Jehu Rudeforth,White Choc,USA,02-Jan-23,5879.25,236,Delivered
Roddy Speechley,Choco Coated Almonds,UK,02-Jan-23,2110.5,141,Delivered
Oby Sorrel,Raspberry Choco,UK,02-Jan-23,9058.5,906,Cancelled
Camilla Castle,50% Dark Bites,USA,02-Jan-23,1228.5,73,Delivered
Madelene Upcott,Baker's Choco Chips,Canada,02-Jan-23,5451.75,321,Delivered
Andria Kimpton,Fruit & Nut Bars,India,02-Jan-23,2333.25,90,Delivered
Dotty Strutley,Eclairs,UK,02-Jan-23,1696.5,81,Delivered
Brien Boise,Orange Choco,UK,03-Jan-23,6882.75,861,Delivered
Van Tuxwell,Mint Chip Choco,UK,03-Jan-23,3534.75,253,Delivered
Curtice Advani,Smooth Silky Salty,USA,03-Jan-23,9940.5,1421,Delivered
Beverie Moffet,Milk Bars,UK,03-Jan-23,321.75,15,Delivered
Kelci Walkden,Manuka Honey Choco,UK,03-Jan-23,16611.75,756,Delivered
Roddy Speechley,Drinking Coco,India,03-Jan-23,5359.5,536,Delivered
Ches Bonnell,Mint Chip Choco,UK,03-Jan-23,159.75,12,Delivered
Curtice Advani,Choco Coated Almonds,India,03-Jan-23,5001.75,385,Delivered
Marney O'Breen,Mint Chip Choco,UK,03-Jan-23,8361,761,Delivered
Dennison Crosswaite,Smooth Silky Salty,UK,03-Jan-23,3942,329,Delivered
Gigi Bohling,Organic Choco Syrup,Australia,03-Jan-23,9947.25,453,Delivered
Jehu Rudeforth,Manuka Honey Choco,New Zealand,03-Jan-23,7463.25,356,Delivered
Van Tuxwell,Manuka Honey Choco,Australia,03-Jan-23,429.75,20,Delivered
Gigi Bohling,Eclairs,UK,03-Jan-23,2045.25,98,Cancelled
Gunar Cockshoot,70% Dark Bites,UK,04-Jan-23,1053,56,Delivered
Brien Boise,Orange Choco,Canada,04-Jan-23,2742.75,250,Delivered
Oby Sorrel,Fruit & Nut Bars,USA,04-Jan-23,4756.5,177,Delivered
Beverie Moffet,Spicy Special Slims,New Zealand,04-Jan-23,805.5,41,Delivered
Curtice Advani,Raspberry Choco,Canada,04-Jan-23,14566.5,2081,Delivered
Brien Boise,Choco Coated Almonds,UK,04-Jan-23,12080.25,930,Delivered
